name,dtype,non_null_percent,unique_count,min,max,mean,std,zero_percent,negative_percent
AJAM_MWD,float64,0.0,0,,,,,0.0,0.0
ETSL,float64,0.0,0,,,,,0.0,0.0
SHY,float64,0.0,0,,,,,0.0,0.0
SRVINC,float64,0.0,0,,,,,0.0,0.0
RPM,float64,0.0,0,,,,,0.0,0.0
DEPT,float64,0.0,0,,,,,0.0,0.0
SHZ,float64,0.0,0,,,,,0.0,0.0
DRPM30s,float64,0.0,0,,,,,0.0,0.0
ROP,float64,0.0,0,,,,,0.0,0.0
CRS1,float64,0.0,0,,,,,0.0,0.0
MON_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
MTF_RT,float64,0.0,0,,,,,0.0,0.0
PMIN_RT,float64,0.0,0,,,,,0.0,0.0
HKLD30s,float64,0.0,0,,,,,0.0,0.0
P40H_COND_UNC_ECO_RT,float64,0.0,0,,,,,0.0,0.0
SHKPK_RT,float64,0.0,0,,,,,0.0,0.0
GS_DRTV,float64,0.0,0,,,,,0.0,0.0
PASS_NAME,float64,0.0,0,,,,,0.0,0.0
ECD_MW_IN,float64,0.0,0,,,,,0.0,0.0
MSP1,float64,0.0,0,,,,,0.0,0.0
DCHV,float64,0.0,0,,,,,0.0,0.0
SRVTYPE,float64,0.0,0,,,,,0.0,0.0
DMEA,float64,0.0,0,,,,,0.0,0.0
TQA,float64,0.0,0,,,,,0.0,0.0
TOFF,float64,0.0,0,,,,,0.0,0.0
BACC,float64,0.0,0,,,,,0.0,0.0
UCAV_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
SHK_ISONIC_RT,float64,0.0,0,,,,,0.0,0.0
ROP5,float64,0.0,0,,,,,0.0,0.0
CRS_CNINC,float64,0.0,0,,,,,0.0,0.0
FPG_P,float64,0.0,0,,,,,0.0,0.0
DBTV,float64,0.0,0,,,,,0.0,0.0
P28H_ECO_RT,float64,0.0,0,,,,,0.0,0.0
BHFG,float64,0.0,0,,,,,0.0,0.0
STK1,float64,0.0,0,,,,,0.0,0.0
GS_G_C1,float64,0.0,0,,,,,0.0,0.0
SWOB,float64,0.0,0,,,,,0.0,0.0
TCHR,float64,0.0,0,,,,,0.0,0.0
GTEMP,float64,0.0,0,,,,,0.0,0.0
ROBB_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
THKD,float64,0.0,0,,,,,0.0,0.0
HKLD,float64,0.0,0,,,,,0.0,0.0
CRS5,float64,0.0,0,,,,,0.0,0.0
HZ_RT,float64,0.0,0,,,,,0.0,0.0
SHKRSK_RT,float64,0.0,0,,,,,0.0,0.0
DRPM,float64,0.0,0,,,,,0.0,0.0
SGY,float64,0.0,0,,,,,0.0,0.0
MSP8,float64,0.0,0,,,,,0.0,0.0
AORIENT_P,float64,0.0,0,,,,,0.0,0.0
SSFRQ,float64,0.0,0,,,,,0.0,0.0
SHKLV,float64,0.0,0,,,,,0.0,0.0
GS_G_C3,float64,0.0,0,,,,,0.0,0.0
EDRT,float64,0.0,0,,,,,0.0,0.0
CHCO_RT,float64,0.0,0,,,,,0.0,0.0
HSTEMP,float64,0.0,0,,,,,0.0,0.0
RGX_RT,float64,0.0,0,,,,,0.0,0.0
STICK_RT,float64,0.0,0,,,,,0.0,0.0
MBOT,float64,0.0,0,,,,,0.0,0.0
SPM4,float64,0.0,0,,,,,0.0,0.0
ESD_MIN_RT,float64,0.0,0,,,,,0.0,0.0
ESD_MAX_RT,float64,0.0,0,,,,,0.0,0.0
HKLI,float64,0.0,0,,,,,0.0,0.0
SRVEW,float64,0.0,0,,,,,0.0,0.0
TVDE,float64,0.0,0,,,,,0.0,0.0
UTSTAT,float64,0.0,0,,,,,0.0,0.0
ECD_CT_FPWD,float64,0.0,0,,,,,0.0,0.0
HYDR_RET_P,float64,0.0,0,,,,,0.0,0.0
ACTC,float64,0.0,0,,,,,0.0,0.0
SSAMP,float64,0.0,0,,,,,0.0,0.0
PESD_TM_RT,float64,0.0,0,,,,,0.0,0.0
DHAP_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
STK4,float64,0.0,0,,,,,0.0,0.0
STK2,float64,0.0,0,,,,,0.0,0.0
TSPM,float64,0.0,0,,,,,0.0,0.0
A28H_UNC_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
TFLO,float64,0.0,0,,,,,0.0,0.0
SRATIO,float64,0.0,0,,,,,0.0,0.0
PESD_RT,float64,0.0,0,,,,,0.0,0.0
GZ_RT,float64,0.0,0,,,,,0.0,0.0
TFLO30s,float64,0.0,0,,,,,0.0,0.0
GS_DCHM,float64,0.0,0,,,,,0.0,0.0
SRV_HZ,float64,0.0,0,,,,,0.0,0.0
A40H_COND_UNC_ECO_RT,float64,0.0,0,,,,,0.0,0.0
GS_G_C2,float64,0.0,0,,,,,0.0,0.0
TEFNEG,float64,0.0,0,,,,,0.0,0.0
HKLN,float64,0.0,0,,,,,0.0,0.0
BITRUN,float64,0.0,0,,,,,0.0,0.0
HKLO,float64,0.0,0,,,,,0.0,0.0
TOTAL_CORR,float64,0.0,0,,,,,0.0,0.0
PMPT,float64,0.0,0,,,,,0.0,0.0
B_STATE_P,float64,0.0,0,,,,,0.0,0.0
RHX_RT,float64,0.0,0,,,,,0.0,0.0
LOT_TIME,float64,0.0,0,,,,,0.0,0.0
ANGLX,float64,0.0,0,,,,,0.0,0.0
STWT,float64,0.0,0,,,,,0.0,0.0
TFDES,float64,0.0,0,,,,,0.0,0.0
BONB,float64,0.0,0,,,,,0.0,0.0
DCHR,float64,0.0,0,,,,,0.0,0.0
OSTM,float64,0.0,0,,,,,0.0,0.0
ECD_P,float64,0.0,0,,,,,0.0,0.0
SHX,float64,0.0,0,,,,,0.0,0.0
CPOF,float64,0.0,0,,,,,0.0,0.0
P40H_UNC_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
P40H_ECO_RT,float64,0.0,0,,,,,0.0,0.0
DTCO_RT,float64,0.0,0,,,,,0.0,0.0
HV,float64,0.0,0,,,,,0.0,0.0
TRPM,float64,0.0,0,,,,,0.0,0.0
SDEP_CONT_RT,float64,0.0,0,,,,,0.0,0.0
STKSLP,float64,0.0,0,,,,,0.0,0.0
STIS,float64,0.0,0,,,,,0.0,0.0
CRPM_RT,float64,0.0,0,,,,,0.0,0.0
TOJ,float64,0.0,0,,,,,0.0,0.0
SHKRATE_RT,float64,0.0,0,,,,,0.0,0.0
DBTM,float64,0.0,0,,,,,0.0,0.0
RETI,float64,0.0,0,,,,,0.0,0.0
RHX,float64,0.0,0,,,,,0.0,0.0
TF_CORR,float64,0.0,0,,,,,0.0,0.0
SRV_GZ,float64,0.0,0,,,,,0.0,0.0
A40H_ECO_RT,float64,0.0,0,,,,,0.0,0.0
QROP,float64,0.0,0,,,,,0.0,0.0
STK3,float64,0.0,0,,,,,0.0,0.0
ROP30s,float64,0.0,0,,,,,0.0,0.0
MWIN,float64,0.0,0,,,,,0.0,0.0
SRVNS,float64,0.0,0,,,,,0.0,0.0
PMIN_TM_RT,float64,0.0,0,,,,,0.0,0.0
SMOD,float64,0.0,0,,,,,0.0,0.0
MSP6,float64,0.0,0,,,,,0.0,0.0
SGZ,float64,0.0,0,,,,,0.0,0.0
ANGXCRS,float64,0.0,0,,,,,0.0,0.0
VIBX_RT,float64,0.0,0,,,,,0.0,0.0
SRV_GX,float64,0.0,0,,,,,0.0,0.0
SPPA,float64,0.0,0,,,,,0.0,0.0
GTF_RT,float64,0.0,0,,,,,0.0,0.0
A28H_ECO_RT,float64,0.0,0,,,,,0.0,0.0
DNISTAT,float64,0.0,0,,,,,0.0,0.0
A28H_COND_UNC_ECO_RT,float64,0.0,0,,,,,0.0,0.0
TTPO_RT,float64,0.0,0,,,,,0.0,0.0
SRVDEPTH,float64,0.0,0,,,,,0.0,0.0
BP_CORR_P,float64,0.0,0,,,,,0.0,0.0
INCL_CONT_RT,float64,0.0,0,,,,,0.0,0.0
GS_G_IC4,float64,0.0,0,,,,,0.0,0.0
SWOB30s,float64,0.0,0,,,,,0.0,0.0
PMAX_RT,float64,0.0,0,,,,,0.0,0.0
CHPO_RT,float64,0.0,0,,,,,0.0,0.0
CRS_CNAZI,float64,0.0,0,,,,,0.0,0.0
HVM,float64,0.0,0,,,,,0.0,0.0
TRPM_RT,float64,0.0,0,,,,,0.0,0.0
RTSTAT,float64,0.0,0,,,,,0.0,0.0
ESD_RT,float64,0.0,0,,,,,0.0,0.0
GRID_CORR,float64,0.0,0,,,,,0.0,0.0
SRV_GY,float64,0.0,0,,,,,0.0,0.0
VIBLAT_RT,float64,0.0,0,,,,,0.0,0.0
P28H_UNC_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
TF,float64,0.0,0,,,,,0.0,0.0
GS_G_NC4,float64,0.0,0,,,,,0.0,0.0
RTMODE,float64,0.0,0,,,,,0.0,0.0
BPOS,float64,0.0,0,,,,,0.0,0.0
DCRNT,float64,0.0,0,,,,,0.0,0.0
SHK3TM_RT,float64,0.0,0,,,,,0.0,0.0
SRVTVD,float64,0.0,0,,,,,0.0,0.0
TEMP_DNI_RT,float64,0.0,0,,,,,0.0,0.0
SRV_HX,float64,0.0,0,,,,,0.0,0.0
